date,region_id,product_id,demand
2023-01-01,R1,PRD1,1299.0
2023-01-02,R1,PRD1,1762.0
2023-01-03,R1,PRD1,1306.0
2023-01-04,R1,PRD1,1324.0
2023-01-05,R1,PRD1,1304.0
2023-01-06,R1,PRD1,1557.0
2023-01-07,R1,PRD1,1497.0
2023-01-08,R1,PRD1,1673.0
2023-01-09,R1,PRD1,1649.0
2023-01-10,R1,PRD1,1517.0
2023-01-11,R1,PRD1,1415.0
2023-01-12,R1,PRD1,1196.0
2023-01-13,R1,PRD1,1325.0
2023-01-14,R1,PRD1,1798.0
2023-01-15,R1,PRD1,1420.0
2023-01-16,R1,PRD1,1842.0
2023-01-17,R1,PRD1,1402.0
2023-01-18,R1,PRD1,1297.0
2023-01-19,R1,PRD1,1209.0
2023-01-20,R1,PRD1,1456.0
2023-01-21,R1,PRD1,1838.0
2023-01-22,R1,PRD1,1862.0
2023-01-23,R1,PRD1,1745.0
2023-01-24,R1,PRD1,1501.0
2023-01-25,R1,PRD1,1138.0
2023-01-26,R1,PRD1,1227.0
2023-01-27,R1,PRD1,1460.0
2023-01-28,R1,PRD1,1776.0
2023-01-29,R1,PRD1,1818.0
2023-01-30,R1,PRD1,1862.0
2023-01-31,R1,PRD1,1597.0
2023-02-01,R1,PRD1,1383.0
2023-02-02,R1,PRD1,1695.0
2023-02-03,R1,PRD1,1606.0
2023-02-04,R1,PRD1,1700.0
2023-02-05,R1,PRD1,2114.0
2023-02-06,R1,PRD1,1938.0
2023-02-07,R1,PRD1,4107.0
2023-02-08,R1,PRD1,1396.0
2023-02-09,R1,PRD1,1551.0
2023-02-10,R1,PRD1,1388.0
2023-02-11,R1,PRD1,1911.0
2023-02-12,R1,PRD1,1880.0
2023-02-13,R1,PRD1,1627.0
2023-02-14,R1,PRD1,1752.0
2023-02-15,R1,PRD1,1194.0
2023-02-16,R1,PRD1,1184.0
2023-02-17,R1,PRD1,1674.0
2023-02-18,R1,PRD1,1921.0
2023-02-19,R1,PRD1,2077.0
2023-02-20,R1,PRD1,1955.0
2023-02-21,R1,PRD1,1846.0
2023-02-22,R1,PRD1,4705.0
2023-02-23,R1,PRD1,1458.0
2023-02-24,R1,PRD1,1644.0
2023-02-25,R1,PRD1,1837.0
2023-02-26,R1,PRD1,2019.0
2023-02-27,R1,PRD1,1734.0
2023-02-28,R1,PRD1,1717.0
2023-03-01,R1,PRD1,1486.0
2023-03-02,R1,PRD1,1539.0
2023-03-03,R1,PRD1,1719.0
2023-03-04,R1,PRD1,1567.0
2023-03-05,R1,PRD1,1883.0
2023-03-06,R1,PRD1,1898.0
2023-03-07,R1,PRD1,1686.0
2023-03-08,R1,PRD1,1554.0
2023-03-09,R1,PRD1,1562.0
2023-03-10,R1,PRD1,1912.0
2023-03-11,R1,PRD1,1972.0
2023-03-12,R1,PRD1,1988.0
2023-03-13,R1,PRD1,1713.0
2023-03-14,R1,PRD1,4648.0
2023-03-15,R1,PRD1,1608.0
2023-03-16,R1,PRD1,1682.0
2023-03-17,R1,PRD1,1931.0
2023-03-18,R1,PRD1,1832.0
2023-03-19,R1,PRD1,2006.0
2023-03-20,R1,PRD1,1983.0
2023-03-21,R1,PRD1,2008.0
2023-03-22,R1,PRD1,1560.0
2023-03-23,R1,PRD1,1760.0
2023-03-24,R1,PRD1,1752.0
2023-03-25,R1,PRD1,2116.0
2023-03-26,R1,PRD1,2201.0
2023-03-27,R1,PRD1,1982.0
2023-03-28,R1,PRD1,1591.0
2023-03-29,R1,PRD1,1513.0
2023-03-30,R1,PRD1,1756.0
2023-03-31,R1,PRD1,1854.0
2023-04-01,R1,PRD1,1901.0
2023-04-02,R1,PRD1,2015.0
2023-04-03,R1,PRD1,1722.0
2023-04-04,R1,PRD1,1933.0
2023-04-05,R1,PRD1,1673.0
2023-04-06,R1,PRD1,1531.0
2023-04-07,R1,PRD1,1760.0
2023-04-08,R1,PRD1,1659.0
2023-04-09,R1,PRD1,1992.0
2023-04-10,R1,PRD1,2141.0
2023-04-11,R1,PRD1,1864.0
2023-04-12,R1,PRD1,1592.0
2023-04-13,R1,PRD1,1543.0
2023-04-14,R1,PRD1,1835.0
2023-04-15,R1,PRD1,1911.0
2023-04-16,R1,PRD1,1819.0
2023-04-17,R1,PRD1,1946.0
2023-04-18,R1,PRD1,1774.0
2023-04-19,R1,PRD1,1691.0
2023-04-20,R1,PRD1,1335.0
2023-04-21,R1,PRD1,1696.0
2023-04-22,R1,PRD1,1925.0
2023-04-23,R1,PRD1,1880.0
2023-04-24,R1,PRD1,1997.0
2023-04-25,R1,PRD1,1806.0
2023-04-26,R1,PRD1,1481.0
2023-04-27,R1,PRD1,1803.0
2023-04-28,R1,PRD1,1651.0
2023-04-29,R1,PRD1,1852.0
2023-04-30,R1,PRD1,1943.0
2023-05-01,R1,PRD1,1794.0
2023-05-02,R1,PRD1,1605.0
2023-05-03,R1,PRD1,1304.0
2023-05-04,R1,PRD1,1472.0
2023-05-05,R1,PRD1,1679.0
2023-05-06,R1,PRD1,1571.0
2023-05-07,R1,PRD1,1965.0
2023-05-08,R1,PRD1,1884.0
2023-05-09,R1,PRD1,1727.0
2023-05-10,R1,PRD1,1644.0
2023-05-11,R1,PRD1,1592.0
2023-05-12,R1,PRD1,1558.0
2023-05-13,R1,PRD1,1752.0
2023-05-14,R1,PRD1,2024.0
2023-05-15,R1,PRD1,1768.0
2023-05-16,R1,PRD1,1455.0
2023-05-17,R1,PRD1,1778.0
2023-05-18,R1,PRD1,1402.0
2023-05-19,R1,PRD1,1524.0
2023-05-20,R1,PRD1,1514.0
2023-05-21,R1,PRD1,2022.0
2023-05-22,R1,PRD1,1668.0
2023-05-23,R1,PRD1,1594.0
2023-05-24,R1,PRD1,1552.0
2023-05-25,R1,PRD1,1279.0
2023-05-26,R1,PRD1,1585.0
2023-05-27,R1,PRD1,1985.0
2023-05-28,R1,PRD1,1520.0
2023-05-29,R1,PRD1,1649.0
2023-05-30,R1,PRD1,1426.0
2023-05-31,R1,PRD1,1357.0
2023-06-01,R1,PRD1,1371.0
2023-06-02,R1,PRD1,1387.0
2023-06-03,R1,PRD1,1638.0
2023-06-04,R1,PRD1,1704.0
2023-06-05,R1,PRD1,1666.0
2023-06-06,R1,PRD1,1539.0
2023-06-07,R1,PRD1,1471.0
2023-06-08,R1,PRD1,1485.0
2023-06-09,R1,PRD1,1581.0
2023-06-10,R1,PRD1,1558.0
2023-06-11,R1,PRD1,1758.0
2023-06-12,R1,PRD1,1992.0
2023-06-13,R1,PRD1,1605.0
2023-06-14,R1,PRD1,1244.0
2023-06-15,R1,PRD1,1517.0
2023-06-16,R1,PRD1,1392.0
2023-06-17,R1,PRD1,1535.0
2023-06-18,R1,PRD1,1896.0
2023-06-19,R1,PRD1,1431.0
2023-06-20,R1,PRD1,1154.0
2023-06-21,R1,PRD1,1393.0
2023-06-22,R1,PRD1,1261.0
2023-06-23,R1,PRD1,1416.0
2023-06-24,R1,PRD1,1524.0
2023-06-25,R1,PRD1,1614.0
2023-06-26,R1,PRD1,1495.0
2023-06-27,R1,PRD1,1284.0
2023-06-28,R1,PRD1,1168.0
2023-06-29,R1,PRD1,1157.0
2023-06-30,R1,PRD1,1236.0
2023-07-01,R1,PRD1,1444.0
2023-07-02,R1,PRD1,1244.0
2023-07-03,R1,PRD1,1599.0
2023-07-04,R1,PRD1,1377.0
2023-07-05,R1,PRD1,1166.0
2023-07-06,R1,PRD1,1204.0
2023-07-07,R1,PRD1,1340.0
2023-07-08,R1,PRD1,1365.0
2023-07-09,R1,PRD1,1459.0
2023-07-10,R1,PRD1,1523.0
2023-07-11,R1,PRD1,1303.0
2023-07-12,R1,PRD1,1417.0
2023-07-13,R1,PRD1,1352.0
2023-07-14,R1,PRD1,1383.0
2023-07-15,R1,PRD1,1306.0
2023-07-16,R1,PRD1,1398.0
2023-07-17,R1,PRD1,1258.0
2023-07-18,R1,PRD1,1266.0
2023-07-19,R1,PRD1,714.0
2023-07-20,R1,PRD1,1023.0
2023-07-21,R1,PRD1,1165.0
2023-07-22,R1,PRD1,1148.0
2023-07-23,R1,PRD1,1532.0
2023-07-24,R1,PRD1,1187.0
2023-07-25,R1,PRD1,1219.0
2023-07-26,R1,PRD1,1436.0
2023-07-27,R1,PRD1,824.0
2023-07-28,R1,PRD1,1142.0
2023-07-29,R1,PRD1,1252.0
2023-07-30,R1,PRD1,1286.0
2023-07-31,R1,PRD1,1400.0
2023-08-01,R1,PRD1,1291.0
