region_id,loc_x,loc_y,base_demand_multiplier
R1,388.677289689482,271.3490317738959,1.743106263727894
R2,356.75332669358926,280.93450968738074,1.3140441247373726
R3,140.92422497476264,802.1969807540397,0.6118259655196563
R4,986.8869366005173,772.2447692966574,0.7980735223012586
R5,5.522117123602399,815.4614284548342,1.5602860157714256
R6,729.0071680409873,771.2703466859457,0.6110669776011355
R7,358.4657285442726,115.86905952512971,1.7946551388133902
R8,623.2981268275579,330.8980248526492,0.5953375254290354
R9,310.9823217156622,325.183322026747,1.5944092675070962
R10,637.5574713552131,887.2127425763265,1.2083223877429239
R11,119.5942459383017,713.244787222995,1.6411775729253462
R12,561.2771975694963,770.967179954561,1.2406933945465861
R13,522.7328293819941,427.54101835854965,0.5381286901161428
R14,107.89142699330445,31.42918568673425,1.4546156168956705
R15,314.35598107632666,508.5706911647028,1.8613497108891395
R16,249.29222914887495,410.38292303562974,1.633326707814573
R17,228.79816549162246,76.979909828793,0.934627179370652
R18,161.2212872540044,929.6976523425731,1.7121805693466254
R19,633.4037565104235,871.4605901877177,1.7055081153486717
R20,186.57005888603584,892.5589984899777,1.3090133628734761
