source,destination,distance,transport_cost,transport_time,carbon_emission_factor,capacity
P1,W1,773.5299814525462,38.67649907262731,2.0,15.470599629050923,22035.132392670785
P1,W2,911.8335407978998,45.59167703989499,2.0,18.236670815957996,21393.619775098705
P1,W3,905.4336449719857,45.27168224859929,2.0,18.108672899439714,11475.477894181311
P1,W4,861.8505311757319,43.0925265587866,2.0,17.23701062351464,34382.57335919587
P1,W5,695.4131297581406,34.77065648790703,2.0,13.908262595162812,30107.16092915446
P1,W6,680.1329806289607,34.006649031448035,2.0,13.602659612579215,12059.150049999575
P1,W7,163.2191881189445,8.160959405947224,1.0,3.26438376237889,21145.858569464457
P1,W8,1015.2508641422646,50.76254320711323,2.0,20.30501728284529,46330.63543866615
P2,W1,661.6793687476173,33.08396843738087,2.0,13.233587374952346,19582.475626678897
P2,W2,587.6690143039842,29.383450715199213,1.0,11.753380286079684,15795.794883648923
P2,W3,678.6027652758954,33.930138263794774,2.0,13.572055305517909,29578.11041110252
P2,W4,524.251011903968,26.2125505951984,1.0,10.48502023807936,49426.01816442403
P2,W5,345.3521421618783,17.267607108093916,1.0,6.907042843237567,19682.210860460014
P2,W6,526.0390464402764,26.30195232201382,1.0,10.520780928805527,36885.421896235144
P2,W7,386.49842051652934,19.32492102582647,1.0,7.729968410330587,40464.7846131487
P2,W8,724.5810610532067,36.22905305266033,2.0,14.491621221064134,19505.501759695988
P3,W1,483.4727046157594,24.173635230787973,1.0,9.669454092315188,39128.65394447438
P3,W2,655.4177216166476,32.770886080832376,2.0,13.108354432332952,24711.32530877013
P3,W3,239.505537974825,11.97527689874125,1.0,4.7901107594965,35292.233223743184
P3,W4,200.55390005876404,10.027695002938202,1.0,4.011078001175281,35341.18843043579
P3,W5,366.1229981886205,18.306149909431024,1.0,7.32245996377241,31430.987362990338
P3,W6,382.4193064333933,19.120965321669665,1.0,7.648386128667866,13611.590802176332
P3,W7,959.4110478971619,47.970552394858096,2.0,19.188220957943237,43412.09982356952
P3,W8,143.97354861190385,7.198677430595193,1.0,2.879470972238077,22831.202598869433
P4,W1,438.75431446857004,21.937715723428504,1.0,8.775086289371401,17460.74041599417
P4,W2,625.2240477647942,31.261202388239713,2.0,12.504480955295886,11631.005662190557
P4,W3,268.9789017636431,13.448945088182155,1.0,5.3795780352728615,33635.71772752967
P4,W4,213.37645938069193,10.668822969034597,1.0,4.267529187613839,37102.5744736913
P4,W5,298.03390385780364,14.901695192890182,1.0,5.960678077156073,10663.513157114246
P4,W6,312.6477126145803,15.632385630729017,1.0,6.252954252291606,30483.72233197124
P4,W7,835.6694160572044,41.78347080286022,2.0,16.713388321144087,19059.83100791752
P4,W8,265.52437532381845,13.276218766190922,1.0,5.3104875064763695,35806.911616378
W1,R2,332.4439994810967,16.622199974054833,1.0,6.648879989621934,10801.030194508061
W1,R3,880.3388016659762,44.01694008329881,2.0,17.606776033319527,7062.814162189899
W1,R6,737.5781143884768,36.87890571942384,2.0,14.751562287769536,18160.090300714714
W1,R8,286.1192726828738,14.305963634143692,1.0,5.722385453657477,17258.333003018237
W1,R9,396.1011795797455,19.805058978987276,1.0,7.92202359159491,12944.758675340097
W1,R12,725.1855499767161,36.25927749883581,2.0,14.503710999534322,18506.270857449956
W1,R13,387.40882091522343,19.370441045761172,1.0,7.748176418304468,10085.446865730511
W1,R15,539.3252543606673,26.966262718033363,1.0,10.786505087213346,18456.653899288656
W1,R16,500.17977975411594,25.0089889877058,1.0,10.003595595082318,16698.133187864358
W1,R17,364.8957919649881,18.244789598249408,1.0,7.297915839299763,6262.0994749257325
W1,R19,826.0277879281017,41.301389396405085,2.0,16.520555758562033,14096.43589489385
W2,R2,728.8679418624786,36.44339709312393,2.0,14.577358837249571,5075.92375769328
W2,R4,938.6066064345316,46.930330321726586,2.0,18.772132128690632,15378.4279653904
W2,R5,146.10185250379178,7.305092625189589,1.0,2.9220370500758355,8364.039641908397
W2,R6,687.3020890175185,34.365104450875926,2.0,13.74604178035037,8558.736312452002
W2,R8,832.7951476984624,41.63975738492312,2.0,16.65590295396925,14744.49348570822
W2,R9,670.4374516779385,33.52187258389693,2.0,13.40874903355877,14864.19338450515
W2,R10,575.8181261226512,28.79090630613256,1.0,11.516362522453024,6405.121517421387
W2,R14,918.4559915465356,45.922799577326785,2.0,18.369119830930714,10896.465870001406
W2,R15,505.99391459532967,25.299695729766484,1.0,10.119878291906593,14467.079389958943
W2,R16,569.1482034876918,28.45741017438459,1.0,11.382964069753838,12539.556396577882
W2,R17,887.1484448175268,44.35742224087634,2.0,17.742968896350536,12387.765407282957
W2,R19,573.6016075743036,28.68008037871518,1.0,11.472032151486072,9211.585436612837
W3,R1,192.95167075406678,9.64758353770334,1.0,3.8590334150813357,7656.660191105734
W3,R2,190.5351388304594,9.52675694152297,1.0,3.810702776609188,19308.928655038813
W3,R3,723.2907815987636,36.16453907993818,2.0,14.465815631975273,10552.380503831666
W3,R5,777.6100026763005,38.880500133815026,2.0,15.55220005352601,11422.762224759714
W3,R6,796.1434142611727,39.80717071305864,2.0,15.922868285223453,19454.299656338793
W3,R7,56.84331406856461,2.842165703428231,1.0,1.1368662813712922,9416.733381043785
W3,R9,227.600325650841,11.380016282542051,1.0,4.55200651301682,9753.830077344166
